customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Probability,Predicted_Churn,Risk_Level,Customer_Segment,Retention_Priority,Top_SHAP_Drivers,SHAP_Values,SHAP_Directions,Final_Retention_Action
4376-KFVRS,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.05,8468.2,No,0.0041972185,0,Low,0.0,Low,tenure | Contract Month-to-month | Contract Two year | OnlineSecurity No | Contract One year,-1.4373 | -1.1265 | -0.8457 | -0.4957 | -0.3057,Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement; Review pricing
2388-LAESQ,Female,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.85,8317.95,No,0.00702986,0,Low,0.0,Low,tenure | Contract Month-to-month | Contract Two year | OnlineSecurity No | Contract One year,-1.7983 | -1.1578 | -0.8246 | -0.4714 | -0.3363,Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement; Review pricing
5533-RJFTJ,Male,0,No,No,49,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.2,1453.1,No,0.20098336,0,Low,1.0,Low,tenure | Contract Month-to-month | PaymentMethod Electronic check | TotalCharges | InternetService Fiber optic,-0.6731 | 0.4874 | -0.4333 | -0.4084 | -0.2429,Reduces churn risk | Increases churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement; Offer long-term contract incentive; Promote online security; Offer technical support
4706-AXVKM,Female,1,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.8,906.85,Yes,0.8243811,1,High,1.0,Critical,Contract Month-to-month | PaymentMethod Electronic check | InternetService Fiber optic | OnlineSecurity No | MultipleLines No,0.6406 | -0.308 | 0.2327 | 0.2228 | 0.1872,Increases churn risk | Reduces churn risk | Increases churn risk | Increases churn risk | Increases churn risk,Immediate personal outreach; Offer long-term contract incentive; Promote online security; Offer technical support; Review pricing
0997-YTLNY,Female,0,No,Yes,19,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,48.8,953.65,No,0.07004618,0,Low,1.0,Low,MonthlyCharges | tenure | Contract Month-to-month | PaymentMethod Electronic check | TechSupport No,-0.4808 | -0.4435 | 0.3904 | -0.2972 | -0.2683,Reduces churn risk | Reduces churn risk | Increases churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement; Offer long-term contract incentive; Promote online security
7971-HLVXI,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),84.5,6130.85,No,0.025954127,0,Low,0.0,Low,tenure | Contract Month-to-month | Contract Two year | PaymentMethod Electronic check | Contract One year,-1.5486 | -1.1391 | -0.5946 | -0.3029 | -0.2627,Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement; Promote online security; Offer technical support; Review pricing
7337-CINUD,Female,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.5,159.35,No,0.027406927,0,Low,1.0,Low,Contract Month-to-month | Contract Two year | OnlineSecurity No | MonthlyCharges | PaymentMethod Bank transfer (automatic),-1.3352 | -0.9645 | -0.3389 | -0.2449 | 0.2372,Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Increases churn risk,Maintain regular engagement
1379-FRVEB,Male,0,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.0,1430.05,No,0.71191263,1,High,1.0,Critical,Contract Month-to-month | Dependents No | OnlineSecurity No | PaymentMethod Electronic check | tenure,0.6192 | -0.3098 | 0.2376 | 0.2176 | -0.1712,Increases churn risk | Reduces churn risk | Increases churn risk | Increases churn risk | Reduces churn risk,Priority retention outreach; Offer long-term contract incentive; Promote online security; Offer technical support; Review pricing
4753-PADAS,Female,0,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.7,6816.95,No,0.17376356,0,Low,0.0,Low,Contract Month-to-month | tenure | MonthlyCharges | TotalCharges | PaymentMethod Electronic check,-1.1116 | -0.5913 | 0.3345 | -0.3262 | -0.3034,Reduces churn risk | Reduces churn risk | Increases churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement; Promote online security; Offer technical support; Review pricing
5701-GUXDC,Female,0,Yes,No,26,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),35.4,978.6,No,0.050929617,0,Low,1.0,Low,Contract Month-to-month | StreamingMovies Yes | OnlineSecurity No | tenure | MonthlyCharges,-1.2644 | -0.3458 | -0.2637 | -0.2506 | -0.2382,Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement; Offer technical support
7235-NXZCP,Male,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.85,156.4,Yes,0.7674044,1,High,1.0,Critical,Contract Month-to-month | tenure | PaymentMethod Electronic check | OnlineSecurity No | MonthlyCharges,0.6581 | 0.4078 | -0.3311 | 0.2639 | -0.2483,Increases churn risk | Increases churn risk | Reduces churn risk | Increases churn risk | Reduces churn risk,Priority retention outreach; Offer long-term contract incentive; Provide new-customer support; Promote online security; Offer technical support
0668-OGMHD,Female,0,Yes,No,21,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,28.5,629.35,No,0.31196365,0,Low,1.0,Low,Contract Month-to-month | OnlineSecurity No | MonthlyCharges | PaperlessBilling No | gender Female,0.4788 | -0.4167 | -0.3518 | -0.2833 | -0.1626,Increases churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement; Offer long-term contract incentive; Offer technical support
2812-REYAT,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.05,923.1,No,0.013297366,0,Low,1.0,Low,Contract Month-to-month | tenure | OnlineSecurity No | MonthlyCharges | TechSupport No,-1.2354 | -0.6598 | -0.4293 | -0.3909 | -0.3432,Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement
8779-YIQQA,Male,0,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.8,350.1,No,0.0113956155,0,Low,1.0,Low,Contract Month-to-month | OnlineSecurity No | TechSupport No | PaperlessBilling No | StreamingMovies Yes,-1.1266 | -0.4635 | -0.3248 | -0.3088 | -0.2603,Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement
9701-CDXHR,Female,0,Yes,No,51,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.15,3649.6,No,0.09398926,0,Low,0.0,Low,tenure | TotalCharges | PaymentMethod Electronic check | Contract Month-to-month | PaymentMethod Mailed check,-0.9619 | -0.553 | -0.4817 | 0.4764 | -0.2425,Reduces churn risk | Reduces churn risk | Reduces churn risk | Increases churn risk | Reduces churn risk,Maintain regular engagement; Offer long-term contract incentive; Promote online security; Offer technical support
7130-CTCUS,Male,1,Yes,No,16,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.55,825.1,No,0.24421178,0,Low,1.0,Low,Contract Month-to-month | OnlineSecurity No | PaymentMethod Electronic check | InternetService Fiber optic | MonthlyCharges,0.4711 | -0.3578 | -0.3091 | -0.2352 | -0.2017,Increases churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement; Offer long-term contract incentive; Offer technical support
1894-IGFSG,Female,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.25,1907.85,Yes,0.6017818,1,Medium,1.0,Medium,Contract Month-to-month | tenure | PaperlessBilling No | OnlineSecurity No | PaperlessBilling Yes,0.5554 | -0.3126 | -0.2299 | 0.171 | -0.1363,Increases churn risk | Reduces churn risk | Reduces churn risk | Increases churn risk | Reduces churn risk,Proactive retention communication; Offer long-term contract incentive; Promote online security; Offer technical support; Review pricing
0871-URUWO,Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.25,1359.0,Yes,0.8570556,1,High,1.0,Critical,Contract Month-to-month | MonthlyCharges | PaymentMethod Electronic check | InternetService Fiber optic | PaymentMethod Credit card (automatic),0.5732 | 0.516 | -0.3363 | 0.2957 | -0.2251,Increases churn risk | Increases churn risk | Reduces churn risk | Increases churn risk | Reduces churn risk,Immediate personal outreach; Offer long-term contract incentive; Promote online security; Offer technical support; Review pricing
0057-QBUQH,Female,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.1,1070.15,No,0.018512914,0,Low,1.0,Low,Contract Month-to-month | OnlineSecurity No | Contract Two year | MonthlyCharges | TechSupport No,-1.0847 | -0.4802 | -0.4639 | -0.4008 | -0.329,Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement
9611-CTWIH,Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.45,240.45,Yes,0.75634354,1,High,1.0,Critical,Contract Month-to-month | MultipleLines No | OnlineSecurity No | MonthlyCharges | tenure,0.6668 | -0.2635 | 0.2443 | -0.1841 | 0.1817,Increases churn risk | Reduces churn risk | Increases churn risk | Reduces churn risk | Increases churn risk,Priority retention outreach; Offer long-term contract incentive; Provide new-customer support; Promote online security; Offer technical support; Review pricing
8058-DMYRU,Male,1,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,4931.8,No,0.60455143,1,Medium,0.0,Medium,tenure | Contract Month-to-month | TotalCharges | OnlineSecurity No | PaymentMethod Electronic check,-0.6006 | 0.5381 | -0.3382 | 0.2694 | 0.238,Reduces churn risk | Increases churn risk | Reduces churn risk | Increases churn risk | Increases churn risk,Proactive retention communication; Offer long-term contract incentive; Promote online security; Offer technical support; Review pricing
5351-QESIO,Male,0,No,Yes,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.2,24.2,No,0.45236278,0,Medium,1.0,Medium,tenure | Contract Month-to-month | MonthlyCharges | PaperlessBilling No | PaymentMethod Electronic check,0.9016 | 0.569 | -0.4066 | -0.2805 | -0.2501,Increases churn risk | Increases churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Proactive retention communication; Offer long-term contract incentive; Provide new-customer support; Promote online security; Offer technical support
4302-ZYFEL,Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.55,1403.1,No,0.0041135517,0,Low,1.0,Low,Contract Month-to-month | tenure | MonthlyCharges | OnlineSecurity No | TechSupport No,-1.0138 | -0.7853 | -0.7686 | -0.4229 | -0.3149,Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement
6134-KWTBV,Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.4,1429.65,No,0.0073262905,0,Low,1.0,Low,Contract Month-to-month | tenure | Contract Two year | TotalCharges | OnlineSecurity No,-1.094 | -0.7922 | -0.709 | -0.4657 | -0.3984,Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement
2034-GDRCN,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,Yes,0.919671,1,High,1.0,Critical,Contract Month-to-month | tenure | OnlineSecurity No | MultipleLines No | MonthlyCharges,0.6611 | 0.5236 | 0.291 | -0.2364 | 0.2329,Increases churn risk | Increases churn risk | Increases churn risk | Reduces churn risk | Increases churn risk,Immediate personal outreach; Offer long-term contract incentive; Provide new-customer support; Promote online security; Offer technical support; Review pricing
9544-PYPSJ,Female,1,Yes,Yes,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),96.1,6019.35,No,0.09279585,0,Low,0.0,Low,tenure | TotalCharges | Contract Month-to-month | PaymentMethod Electronic check | Dependents No,-1.4457 | -0.4984 | 0.4385 | -0.4246 | -0.2334,Reduces churn risk | Reduces churn risk | Increases churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement; Offer long-term contract incentive; Promote online security; Offer technical support; Review pricing
4208-UFFGW,Male,1,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.95,85.15,Yes,0.5294543,1,Medium,1.0,Medium,Contract Month-to-month | tenure | PaperlessBilling No | PaymentMethod Electronic check | SeniorCitizen,0.5752 | 0.3762 | -0.2484 | -0.2345 | 0.1698,Increases churn risk | Increases churn risk | Reduces churn risk | Reduces churn risk | Increases churn risk,Proactive retention communication; Offer long-term contract incentive; Provide new-customer support; Promote online security; Offer technical support
9537-JALFH,Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.9,1356.7,No,0.004780975,0,Low,1.0,Low,Contract Month-to-month | Contract Two year | tenure | TotalCharges | OnlineSecurity No,-1.1443 | -0.7932 | -0.7802 | -0.4081 | -0.3668,Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement
4415-IJZTP,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,Yes,0.93408734,1,High,1.0,Critical,tenure | Contract Month-to-month | OnlineSecurity No | TotalCharges | InternetService Fiber optic,0.9035 | 0.7624 | 0.2608 | 0.2008 | 0.191,Increases churn risk | Increases churn risk | Increases churn risk | Increases churn risk | Increases churn risk,Immediate personal outreach; Offer long-term contract incentive; Provide new-customer support; Promote online security; Offer technical support
4701-MLJPN,Male,0,No,No,31,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,55.25,1715.65,Yes,0.052853595,0,Low,1.0,Low,tenure | TotalCharges | TechSupport No | Contract Month-to-month | InternetService Fiber optic,-0.7535 | -0.5687 | -0.4653 | 0.4062 | -0.315,Reduces churn risk | Reduces churn risk | Reduces churn risk | Increases churn risk | Reduces churn risk,Maintain regular engagement; Offer long-term contract incentive; Promote online security
7515-LODFU,Male,1,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.3,1356.3,No,0.005184863,0,Low,1.0,Low,Contract Month-to-month | Contract Two year | tenure | MonthlyCharges | TotalCharges,-1.072 | -0.6915 | -0.6868 | -0.5885 | -0.4005,Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement
4927-WWOOZ,Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.45,171.45,No,0.9298065,1,High,1.0,Critical,Contract Month-to-month | tenure | OnlineSecurity No | MonthlyCharges | MultipleLines No,0.7156 | 0.4381 | 0.2906 | 0.2324 | 0.2167,Increases churn risk | Increases churn risk | Increases churn risk | Increases churn risk | Increases churn risk,Immediate personal outreach; Offer long-term contract incentive; Provide new-customer support; Promote online security; Offer technical support; Review pricing
4067-HLYQI,Female,0,No,No,33,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.4,2406.1,No,0.6564675,1,Medium,1.0,Medium,Contract Month-to-month | tenure | PaymentMethod Electronic check | InternetService Fiber optic | OnlineSecurity No,0.5922 | -0.4104 | -0.3664 | 0.2207 | 0.2115,Increases churn risk | Reduces churn risk | Reduces churn risk | Increases churn risk | Increases churn risk,Proactive retention communication; Offer long-term contract incentive; Promote online security; Offer technical support
6184-DYUOB,Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,55.25,No,0.27724233,0,Low,1.0,Low,Contract Month-to-month | OnlineSecurity No | TechSupport No | InternetService Fiber optic | PaymentMethod Electronic check,0.5523 | -0.5155 | -0.3301 | -0.2467 | -0.176,Increases churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement; Offer long-term contract incentive; Provide new-customer support
9209-NWPGU,Male,0,No,No,44,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,65.4,2774.55,No,0.07748546,0,Low,1.0,Low,Contract Month-to-month | OnlineSecurity No | tenure | PaymentMethod Electronic check | MonthlyCharges,-0.8456 | -0.3456 | -0.3254 | 0.3253 | -0.308,Reduces churn risk | Reduces churn risk | Reduces churn risk | Increases churn risk | Reduces churn risk,Maintain regular engagement
9851-KIELU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.1,1043.3,Yes,0.47781882,0,Medium,1.0,Medium,TechSupport No | OnlineSecurity No | Contract Month-to-month | tenure | InternetService Fiber optic,-0.4891 | -0.4301 | 0.3986 | 0.2935 | 0.2597,Reduces churn risk | Reduces churn risk | Increases churn risk | Increases churn risk | Increases churn risk,Proactive retention communication; Offer long-term contract incentive; Review pricing
3199-XGZCY,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.25,576.7,No,0.7810034,1,High,1.0,Critical,Contract Month-to-month | MonthlyCharges | OnlineSecurity No | PaymentMethod Electronic check | InternetService Fiber optic,0.7244 | -0.2314 | 0.2181 | 0.2144 | 0.1737,Increases churn risk | Reduces churn risk | Increases churn risk | Increases churn risk | Increases churn risk,Priority retention outreach; Offer long-term contract incentive; Promote online security; Offer technical support
4226-KKDON,Male,0,No,No,8,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,66.65,520.95,No,0.08038956,0,Low,1.0,Low,MonthlyCharges | TechSupport No | InternetService Fiber optic | OnlineBackup No | Contract Month-to-month,-0.6495 | -0.4731 | -0.4202 | -0.4149 | 0.4136,Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Increases churn risk,Maintain regular engagement; Offer long-term contract incentive; Promote online security
1085-LDWAM,Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.35,1442.65,No,0.0049434006,0,Low,1.0,Low,Contract Month-to-month | tenure | MonthlyCharges | OnlineSecurity No | TotalCharges,-1.1348 | -0.8811 | -0.8559 | -0.4211 | -0.2657,Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement
6825-UYPFK,Female,0,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.6,1758.6,Yes,0.15195839,0,Low,1.0,Low,Contract Month-to-month | tenure | PaperlessBilling No | MonthlyCharges | PaymentMethod Electronic check,0.5456 | -0.5381 | -0.4651 | -0.4193 | -0.3758,Increases churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement; Offer long-term contract incentive; Promote online security; Offer technical support
1767-CJKBA,Male,0,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.1,1697.7,No,0.0052040876,0,Low,1.0,Low,Contract Month-to-month | Contract Two year | TotalCharges | tenure | OnlineSecurity No,-1.0401 | -0.6328 | -0.5914 | -0.5522 | -0.4743,Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement
7181-BQYBV,Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.45,102.45,Yes,0.907199,1,High,1.0,Critical,tenure | Contract Month-to-month | MonthlyCharges | OnlineSecurity No | Dependents No,0.701 | 0.5959 | 0.5284 | -0.506 | -0.2218,Increases churn risk | Increases churn risk | Increases churn risk | Reduces churn risk | Reduces churn risk,Immediate personal outreach; Offer long-term contract incentive; Provide new-customer support; Offer technical support; Review pricing
0178-CIIKR,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,58.0,No,0.28559312,0,Low,1.0,Low,Contract Month-to-month | OnlineSecurity No | TotalCharges | TechSupport No | PaperlessBilling No,0.5335 | -0.473 | 0.3171 | -0.2793 | -0.2199,Increases churn risk | Reduces churn risk | Increases churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement; Offer long-term contract incentive; Provide new-customer support
